Move Sequence,FEN,Evaluation,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4,rn1q1rk1/pp3pp1/2p2b1p/5b2/2pP4/1B3N2/PP3PPP/RN1QR1K1 w - - 0 12,-0.5,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4,rn1q1rk1/pp3pp1/2p2b1p/5b2/2BP4/5N2/PP3PPP/RN1QR1K1 b - - 0 12,-0.77,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7,r2q1rk1/pp1n1pp1/2p2b1p/5b2/2BP4/5N2/PP3PPP/RN1QR1K1 w - - 1 13,-0.1,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3,r2q1rk1/pp1n1pp1/2p2b1p/5b2/2BP4/2N2N2/PP3PPP/R2QR1K1 b - - 2 13,0.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6,r2q1rk1/pp3pp1/1np2b1p/5b2/2BP4/2N2N2/PP3PPP/R2QR1K1 w - - 3 14,0.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3,r2q1rk1/pp3pp1/1np2b1p/5b2/2BP4/1PN2N2/P4PPP/R2QR1K1 b - - 0 14,-0.76,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4,r2q1rk1/pp3pp1/2p2b1p/5b2/2nP4/1PN2N2/P4PPP/R2QR1K1 w - - 0 15,-0.49,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4,r2q1rk1/pp3pp1/2p2b1p/5b2/2PP4/2N2N2/P4PPP/R2QR1K1 b - - 0 15,-0.65,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5,r4rk1/pp3pp1/2p2b1p/q4b2/2PP4/2N2N2/P4PPP/R2QR1K1 w - - 1 16,-0.55,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1,r4rk1/pp3pp1/2p2b1p/q4b2/2PP4/2N2N2/P4PPP/2RQR1K1 b - - 2 16,-0.79,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8,3r1rk1/pp3pp1/2p2b1p/q4b2/2PP4/2N2N2/P4PPP/2RQR1K1 w - - 3 17,-0.78,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5,3r1rk1/pp3pp1/2p2b1p/q2P1b2/2P5/2N2N2/P4PPP/2RQR1K1 b - - 0 17,-5.41,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3,3r1rk1/pp3pp1/2p4p/q2P1b2/2P5/2b2N2/P4PPP/2RQR1K1 w - - 0 18,-5.42,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5,3r1rk1/pp3pp1/2p4p/q2PRb2/2P5/2b2N2/P4PPP/2RQ2K1 b - - 1 18,-7.61,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5,3r1rk1/pp3pp1/2p4p/q2Pbb2/2P5/5N2/P4PPP/2RQ2K1 w - - 0 19,-7.78,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5,3r1rk1/pp3pp1/2p4p/q2PNb2/2P5/8/P4PPP/2RQ2K1 b - - 0 19,-7.72,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5,3r1rk1/pp3pp1/7p/q2pNb2/2P5/8/P4PPP/2RQ2K1 w - - 0 20,-7.81,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1,3r1rk1/pp3pp1/7p/q2pNb2/2P5/8/P4PPP/2R1Q1K1 b - - 1 20,-9.29,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6,3r1rk1/pp3pp1/4b2p/q2pN3/2P5/8/P4PPP/2R1Q1K1 w - - 2 21,3.71,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1,3r1rk1/pp3pp1/4b2p/q2pN3/2P5/8/P4PPP/3RQ1K1 b - - 3 21,-12.34,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4,3r1rk1/pp3pp1/4b2p/q3N3/2p5/8/P4PPP/3RQ1K1 w - - 0 22,-12.71,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8,3R1rk1/pp3pp1/4b2p/q3N3/2p5/8/P4PPP/4Q1K1 b - - 0 22,-10000.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8,3r2k1/pp3pp1/4b2p/q3N3/2p5/8/P4PPP/4Q1K1 w - - 0 23,-13.06,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3,3r2k1/pp3pp1/4b2p/q3N3/2p5/2Q5/P4PPP/6K1 b - - 1 23,-5000.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3,3r2k1/pp3pp1/4b2p/4N3/2p5/2q5/P4PPP/6K1 w - - 0 24,-2500.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3,3r2k1/pp3pp1/4b2p/4N3/2p5/2q3P1/P4P1P/6K1 b - - 0 24,-3333.3333333333335,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1,6k1/pp3pp1/4b2p/4N3/2p5/2q3P1/P4P1P/3r2K1 w - - 1 25,-2500.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6 b2b3 b6c4 b3c4 d8a5 a1c1 a8d8 d4d5 f6c3 e1e5 c3e5 f3e5 c6d5 d1e1 f5e6 c1d1 d5c4 d1d8 f8d8 e1c3 a5c3 g2g3 d8d1 g1g2,6k1/pp3pp1/4b2p/4N3/2p5/2q3P1/P4PKP/3r4 b - - 2 25,-2500.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
