Move Sequence,FEN,Evaluation,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2,2bqk2r/r1p2ppp/2n1pn2/8/N2p4/8/P2bPPPP/R2QKBNR w KQk - 0 14,-7.39,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2,2bqk2r/r1p2ppp/2n1pn2/8/N2p4/8/P2KPPPP/R2Q1BNR b k - 0 14,-7.97,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4,2bqk2r/r1p2ppp/2n1p3/8/N2pn3/8/P2KPPPP/R2Q1BNR w k - 1 15,-7.65,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1,2bqk2r/r1p2ppp/2n1p3/8/N2pn3/8/P3PPPP/R2QKBNR b k - 2 15,-8.7,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6,2b1k2r/r1p2ppp/2n1pq2/8/N2pn3/8/P3PPPP/R2QKBNR w k - 3 16,-5.27,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3,2b1k2r/r1p2ppp/2n1pq2/8/N2pn3/5N2/P3PPPP/R2QKB1R b k - 4 16,-5.23,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8,2b2rk1/r1p2ppp/2n1pq2/8/N2pn3/5N2/P3PPPP/R2QKB1R w - - 5 17,-5.19,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1,2b2rk1/r1p2ppp/2n1pq2/8/N2pn3/5N2/P3PPPP/2RQKB1R b - - 6 17,-4.82,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7,5rk1/r1pb1ppp/2n1pq2/8/N2pn3/5N2/P3PPPP/2RQKB1R w - - 7 18,-4.56,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5,5rk1/r1pb1ppp/2n1pq2/2N5/3pn3/5N2/P3PPPP/2RQKB1R b - - 8 18,-5.83,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5,5rk1/r1pb1ppp/2n1pq2/2n5/3p4/5N2/P3PPPP/2RQKB1R w - - 0 19,-5.73,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5,5rk1/r1pb1ppp/2n1pq2/2R5/3p4/5N2/P3PPPP/3QKB1R b - - 0 19,-5.93,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2,5rk1/2pb1ppp/2n1pq2/2R5/3p4/5N2/r3PPPP/3QKB1R w - - 0 20,-5.97,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3,5rk1/2pb1ppp/2n1pq2/2R5/3p4/4PN2/r4PPP/3QKB1R b - - 0 20,-6.66,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8,r5k1/2pb1ppp/2n1pq2/2R5/3p4/4PN2/r4PPP/3QKB1R w - - 1 21,-7.79,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3,r5k1/2pb1ppp/2n1pq2/2R5/3p4/3BPN2/r4PPP/3QK2R b - - 2 21,-8.08,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3,r5k1/2pb1ppp/2n1pq2/2R5/8/3BpN2/r4PPP/3QK2R w - - 0 22,-8.12,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7,r5k1/2pb1ppB/2n1pq2/2R5/8/4pN2/r4PPP/3QK2R b - - 0 22,-14.06,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8,r6k/2pb1ppB/2n1pq2/2R5/8/4pN2/r4PPP/3QK2R w - - 1 23,-5.63,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7,r6k/2pQ1ppB/2n1pq2/2R5/8/4pN2/r4PPP/4K2R b - - 0 23,-1666.6666666666667,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1,r6k/2pQ1ppB/2n1pq2/2R5/8/4pN2/5PPP/r3K2R w - - 1 24,0.0,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2,r6k/2pQ1ppB/2n1pq2/2R5/8/4pN2/4KPPP/r6R b - - 2 24,0.0,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2,7k/2pQ1ppB/2n1pq2/2R5/8/4pN2/r3KPPP/r6R w - - 3 25,1.83,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2 e2e3,7k/2pQ1ppB/2n1pq2/2R5/8/4KN2/r4PPP/r6R b - - 0 25,0.8,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2 e2e3 f6h6,7k/2pQ1ppB/2n1p2q/2R5/8/4KN2/r4PPP/r6R w - - 1 26,10.08,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2 e2e3 f6h6 e3d3,7k/2pQ1ppB/2n1p2q/2R5/8/3K1N2/r4PPP/r6R b - - 2 26,-6.96,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2 e2e3 f6h6 e3d3 a2a3,7k/2pQ1ppB/2n1p2q/2R5/8/r2K1N2/5PPP/r6R w - - 3 27,2.38,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2 e2e3 f6h6 e3d3 a2a3 d3c4,7k/2pQ1ppB/2n1p2q/2R5/2K5/r4N2/5PPP/r6R b - - 4 27,-33.31,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2 e2e3 f6h6 e3d3 a2a3 d3c4 h6f4,7k/2pQ1ppB/2n1p3/2R5/2K2q2/r4N2/5PPP/r6R w - - 5 28,-15.93,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c4c5 b7b6 b2b4 a7a5 b4a5 b6c5 c3a4 c5d4 d1d4 b8c6 d4d1 a8a5 c1d2 a5a7 d2e3 d5d4 e3g5 f8b4 g5d2 b4d2 e1d2 f6e4 d2e1 d8f6 g1f3 e8g8 a1c1 c8d7 a4c5 e4c5 c1c5 a7a2 e2e3 f8a8 f1d3 d4e3 d3h7 g8h8 d1d7 a2a1 e1e2 a8a2 e2e3 f6h6 e3d3 a2a3 d3c4 h6f4 c4b5,7k/2pQ1ppB/2n1p3/1KR5/5q2/r4N2/5PPP/r6R b - - 6 28,-10000.0,1543,1500,0-1,D35,Queen's Gambit Declined: Normal Defense,120+1,Normal
d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0.38,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,0.38,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3,rnbqkb1r/pppppppp/5n2/8/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,0.16,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,0.16,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 1 3,0.16,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4,0.22,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/4PN2/PPP1BPPP/RNBQK2R b KQkq - 1 4,0.16,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7,rnbqk2r/ppp1bppp/4pn2/3p4/3P4/4PN2/PPP1BPPP/RNBQK2R w KQkq - 2 5,0.22,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1,rnbqk2r/ppp1bppp/4pn2/3p4/3P4/4PN2/PPP1BPPP/RNBQ1RK1 b kq - 3 5,0.1,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8,rnbq1rk1/ppp1bppp/4pn2/3p4/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w - - 4 6,0.1,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2,rnbq1rk1/ppp1bppp/4pn2/3p4/3P4/4PN2/PPPBBPPP/RN1Q1RK1 b - - 5 6,0.1,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6,rnbq1rk1/p1p1bppp/1p2pn2/3p4/3P4/4PN2/PPPBBPPP/RN1Q1RK1 w - - 0 7,0.12,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4,rnbq1rk1/p1p1bppp/1p2pn2/3p4/2PP4/4PN2/PP1BBPPP/RN1Q1RK1 b - - 0 7,0.12,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7,rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/4PN2/PP1BBPPP/RN1Q1RK1 w - - 1 8,0.26,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5,rn1q1rk1/pbp1bppp/1p2pn2/3P4/3P4/4PN2/PP1BBPPP/RN1Q1RK1 b - - 0 8,0.22,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5,rn1q1rk1/pbp1bppp/1p3n2/3p4/3P4/4PN2/PP1BBPPP/RN1Q1RK1 w - - 0 9,0.26,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3,rn1q1rk1/pbp1bppp/1p3n2/3p4/3P4/1P2PN2/P2BBPPP/RN1Q1RK1 b - - 0 9,0.0,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7,r2q1rk1/pbpnbppp/1p3n2/3p4/3P4/1P2PN2/P2BBPPP/RN1Q1RK1 w - - 1 10,0.0,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3,r2q1rk1/pbpnbppp/1p3n2/3p4/3P4/1PN1PN2/P2BBPPP/R2Q1RK1 b - - 2 10,0.0,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6,r2q1rk1/1bpnbppp/pp3n2/3p4/3P4/1PN1PN2/P2BBPPP/R2Q1RK1 w - - 0 11,0.16,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1,r2q1rk1/1bpnbppp/pp3n2/3p4/3P4/1PN1PN2/P3BPPP/R1BQ1RK1 b - - 1 11,-0.02,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5,r2q1rk1/1b1nbppp/pp3n2/2pp4/3P4/1PN1PN2/P3BPPP/R1BQ1RK1 w - - 0 12,-0.02,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5 d4c5,r2q1rk1/1b1nbppp/pp3n2/2Pp4/8/1PN1PN2/P3BPPP/R1BQ1RK1 b - - 0 12,-0.2,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5 d4c5 b6c5,r2q1rk1/1b1nbppp/p4n2/2pp4/8/1PN1PN2/P3BPPP/R1BQ1RK1 w - - 0 13,-0.2,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5 d4c5 b6c5 c1b2,r2q1rk1/1b1nbppp/p4n2/2pp4/8/1PN1PN2/PB2BPPP/R2Q1RK1 b - - 1 13,-0.24,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5 d4c5 b6c5 c1b2 a8c8,2rq1rk1/1b1nbppp/p4n2/2pp4/8/1PN1PN2/PB2BPPP/R2Q1RK1 w - - 2 14,0.0,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5 d4c5 b6c5 c1b2 a8c8 c3a4,2rq1rk1/1b1nbppp/p4n2/2pp4/N7/1P2PN2/PB2BPPP/R2Q1RK1 b - - 3 14,-0.28,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5 d4c5 b6c5 c1b2 a8c8 c3a4 d7b6,2rq1rk1/1b2bppp/pn3n2/2pp4/N7/1P2PN2/PB2BPPP/R2Q1RK1 w - - 4 15,0.04,1594,1697,0-1,D05,Colle System,60+1,Normal
d2d4 g8f6 e2e3 d7d5 g1f3 e7e6 f1e2 f8e7 e1g1 e8g8 c1d2 b7b6 c2c4 c8b7 c4d5 e6d5 b2b3 b8d7 b1c3 a7a6 d2c1 c7c5 d4c5 b6c5 c1b2 a8c8 c3a4 d7b6 a4b6,2rq1rk1/1b2bppp/pN3n2/2pp4/8/1P2PN2/PB2BPPP/R2Q1RK1 b - - 0 15,0.1,1594,1697,0-1,D05,Colle System,60+1,Normal
